Algorithm,Dataset,Type,Size,Threads,EPS,EPS_1T,Speedup
CECI,livejournal,dense,16,1,457269.1156781118,457269.1156781118,1.0
CECI,livejournal,dense,16,8,430411.1889677019,457269.1156781118,0.9412645075087115
CECI,livejournal,dense,16,16,428418.6386058233,457269.1156781118,0.9369070070925205
CECI,livejournal,dense,16,32,437375.5295521365,457269.1156781118,0.9564947960754491
CECI,livejournal,dense,16,64,430642.7683074718,457269.1156781118,0.9417709474405369
CECI,livejournal,dense,32,1,173093.69319281355,173093.69319281355,1.0
CECI,livejournal,dense,32,8,168795.0699689282,173093.69319281355,0.9751659165357516
CECI,livejournal,dense,32,16,156358.98766953222,173093.69319281355,0.9033199580261997
CECI,livejournal,dense,32,32,166395.93834300316,173093.69319281355,0.9613056101220881
CECI,livejournal,dense,32,64,163013.72118407892,173093.69319281355,0.9417658042716421
CECI,roadnet,sparse,8,1,7076640.011322624,7076640.011322624,1.0
CECI,roadnet,sparse,8,8,3400273.585996314,7076640.011322624,0.4804926604371391
CECI,roadnet,sparse,8,16,3385447.0482290727,7076640.011322624,0.47839752238525024
CECI,roadnet,sparse,8,32,3427733.514317641,7076640.011322624,0.48437302290822587
CECI,roadnet,sparse,8,64,3611100.590775809,7076640.011322624,0.5102846244825295
CECI,roadnet,sparse,16,1,3743579.760710382,3743579.760710382,1.0
CECI,roadnet,sparse,16,8,2377058.5802304796,3743579.760710382,0.6349693961854866
CECI,roadnet,sparse,16,16,2159948.766021418,3743579.760710382,0.5769741541747052
CECI,roadnet,sparse,16,32,2357634.962772955,3743579.760710382,0.6297808817957629
CECI,roadnet,sparse,16,64,2596918.3425437324,3743579.760710382,0.693699215333652
CECI,roadnet,sparse,32,1,1994041.80309236,1994041.80309236,1.0
CECI,roadnet,sparse,32,8,1546972.2968206627,1994041.80309236,0.7757973250217814
CECI,roadnet,sparse,32,16,1407883.7538681603,1994041.80309236,0.7060452552623592
CECI,roadnet,sparse,32,32,1512031.56516401,1994041.80309236,0.75827475774036
CECI,roadnet,sparse,32,64,1507018.756348314,1994041.80309236,0.7557608641961414
CECI,roadnet,dense,8,1,8767161.71906507,8767161.71906507,1.0
CECI,roadnet,dense,8,8,5760037.440239618,8767161.71906507,0.6570013905086113
CECI,roadnet,dense,8,16,4285372.05594981,8767161.71906507,0.4887981074457472
CECI,roadnet,dense,8,32,2822180.5292152083,8767161.71906507,0.3219035555233451
CECI,roadnet,dense,8,64,4302669.116318295,8767161.71906507,0.4907710447454973
CECI,roadnet,dense,16,1,2947869.8692324925,2947869.8692324925,1.0
